"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs12677206-<b>A</b>,"3 x 10-6",,0.243,1.096,'-,[1.06-1.14],"PPP2R2A, RNA5SP258","Prostate cancer","prostate carcinoma",'-,GCST011046,8:26205649
rs6984837-<b>G</b>,"1 x 10-7",,0.198,1.137,'-,[1.08-1.19],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011046,8:126889404
rs7011138-<b>A</b>,"1 x 10-13",,0.847,0.822,'-,[0.78-0.87],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011046,8:126909955
rs7463326-<b>G</b>,"4 x 10-25",,0.801,1.265,'-,[1.21-1.32],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011046,8:127015709
rs72725879-<b>T</b>,"9 x 10-29",,0.64,1.708,'-,[1.55-1.88],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST011046,8:127091724
rs6983267-<b>G</b>,"3 x 10-13",,0.366,1.148,'-,[1.11-1.19],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011046,8:127401060
rs10090154-<b>T</b>,"4 x 10-6",,0.154,1.612,'-,[1.32-1.97],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011046,8:127519892
rs34265760-<b>T</b>,"8 x 10-9",,0.906,1.215,'-,[1.14-1.30],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011046,8:127523298
rs10993994-<b>T</b>,"1 x 10-18",,0.47,1.181,'-,[1.14-1.23],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST011046,10:46046326
rs11817544-<b>C</b>,"2 x 10-12",,0.793,1.165,'-,[1.12-1.22],LINC00856,"Prostate cancer","prostate carcinoma",'-,GCST011046,10:78477242
rs12412705-<b>C</b>,"7 x 10-10",,0.343,1.114,'-,[1.08-1.15],ZMIZ1,"Prostate cancer","prostate carcinoma",'-,GCST011046,10:79076241
rs140783917-<b>C</b>,"4 x 10-14",,0.849,1.218,'-,[1.16-1.28],RPL19P16,"Prostate cancer","prostate carcinoma",'-,GCST011046,10:121074969
rs10749415-<b>A</b>,"9 x 10-6",,0.978,1.281,'-,[1.15-1.43],"FGFR2, RN7SKP167","Prostate cancer","prostate carcinoma",'-,GCST011046,10:121425789
rs61890184-<b>A</b>,"8 x 10-7",,0.13,1.149,'-,[1.09-1.21],PPFIBP2,"Prostate cancer","prostate carcinoma",'-,GCST011046,11:7526356
rs1048374-<b>G</b>,"6 x 10-9",,0.177,1.151,'-,[1.10-1.21],FAM111A-DT,"Prostate cancer","prostate carcinoma",'-,GCST011046,11:59135206
rs77216612-<b>A</b>,"2 x 10-8",,0.579,1.103,'-,[1.07-1.14],"APOLD1, CDKN1B","Prostate cancer","prostate carcinoma",'-,GCST011046,12:12725049
rs187809440-<b>T</b>,"1 x 10-12",,0.03,1.355,'-,[1.25-1.47],KRT8,"Prostate cancer","prostate carcinoma",'-,GCST011046,12:52935447
rs4842687-<b>A</b>,"2 x 10-6",,0.789,1.12,'-,[1.07-1.17],RNU6-148P,"Prostate cancer","prostate carcinoma",'-,GCST011046,12:89762600
rs7489409-<b>C</b>,"9 x 10-14",,0.401,1.144,'-,[1.10-1.19],"RNU4-10P, RNU6-66P","Prostate cancer","prostate carcinoma",'-,GCST011046,13:73142724
rs79133931-<b>T</b>,"1 x 10-6",,0.088,1.195,'-,[1.11-1.28],"ESR2, SYNE2","Prostate cancer","prostate carcinoma",'-,GCST011046,14:64221208
rs8023793-<b>A</b>,"1 x 10-9",,0.608,1.116,'-,[1.08-1.16],LINC01169,"Prostate cancer","prostate carcinoma",'-,GCST011046,15:66649755
rs11649743-<b>G</b>,"9 x 10-13",,0.693,1.15,'-,[1.11-1.20],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST011046,17:37714971
rs11263763-<b>A</b>,"1 x 10-38",,0.713,1.31,'-,[1.26-1.36],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST011046,17:37743574
rs2659051-<b>G</b>,"3 x 10-13",,0.621,1.144,'-,[1.10-1.19],"KLK15, KLK3","Prostate cancer","prostate carcinoma",'-,GCST011046,19:50842312
rs73909841-<b>T</b>,"9 x 10-6",,0.925,1.202,'-,[1.11-1.30],ADNP-AS1,"Prostate cancer","prostate carcinoma",'-,GCST011046,20:50932270
rs1058319-<b>C</b>,"4 x 10-9",,0.425,1.114,'-,[1.07-1.15],SLC2A4RG,"Prostate cancer","prostate carcinoma",'-,GCST011046,20:63743036
rs138708-<b>G</b>,"5 x 10-9",,0.867,1.175,'-,[1.11-1.24],SUN2,"Prostate cancer","prostate carcinoma",'-,GCST011046,22:38742327
rs78416326-<b>G</b>,"2 x 10-9",,0.765,1.275,'-,[1.18-1.38],"PRKCI, SKIL","Prostate cancer","prostate carcinoma",'-,GCST011045,3:170356729
rs6983267-<b>G</b>,"2 x 10-6",,0.603,1.21,'-,[1.12-1.31],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011045,8:127401060
rs10993994-<b>T</b>,"1 x 10-10",,0.349,1.291,'-,[1.19-1.39],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST011045,10:46046326
rs3918298-<b>A</b>,"1 x 10-6",,0.041,1.377,'-,[1.21-1.57],CCND1,"Prostate cancer","prostate carcinoma",'-,GCST011045,11:69648505
rs78416326-<b>G</b>,"5 x 10-20",,0.799617928,1.2318585,'-,[1.18-1.29],"PRKCI, SKIL","Prostate cancer","prostate carcinoma",'-,GCST011048,3:170356729
rs11717887-<b>C</b>,"4 x 10-6",,0.373329354,1.0832849,'-,[1.05-1.12],NCEH1,"Prostate cancer","prostate carcinoma",'-,GCST011048,3:172663987
rs17804499-<b>G</b>,"2 x 10-7",,0.941437877,1.2286369,'-,[1.14-1.33],RASSF6,"Prostate cancer","prostate carcinoma",'-,GCST011048,4:73576632
rs6853490-<b>G</b>,"3 x 10-12",,0.422613792,1.1275649,'-,[1.09-1.17],PDLIM5,"Prostate cancer","prostate carcinoma",'-,GCST011048,4:94623567
rs7679673-<b>C</b>,"1 x 10-6",,0.625027821,1.1038603,'-,[1.06-1.15],"RNU6-351P, TET2","Prostate cancer","prostate carcinoma",'-,GCST011048,4:105140377
rs2242652-<b>G</b>,"4 x 10-9",,0.805629024,1.1475415,'-,[1.10-1.20],TERT,"Prostate cancer","prostate carcinoma",'-,GCST011048,5:1279913
rs2736098-<b>T</b>,"9 x 10-8",,0.280110751,1.1079248,'-,[1.07-1.15],TERT,"Prostate cancer","prostate carcinoma",'-,GCST011048,5:1293971
rs4975758-<b>G</b>,"8 x 10-12",,0.462040183,1.1243056,'-,[1.09-1.16],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST011048,5:1891060
rs4714485-<b>G</b>,"2 x 10-9",,0.276019085,1.1165469,'-,[1.08-1.16],FOXP4,"Prostate cancer","prostate carcinoma",'-,GCST011048,6:41568849
rs2038542-<b>C</b>,"3 x 10-6",,0.143982008,1.1147456,'-,[1.06-1.17],ARMC2,"Prostate cancer","prostate carcinoma",'-,GCST011048,6:108974090
rs339351-<b>C</b>,"1 x 10-7",,0.695001072,1.104749,'-,[1.07-1.15],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST011048,6:116879271
rs4646284-<b>TG</b>,"1 x 10-26",,0.319856898,1.2171053,'-,[1.17-1.26],"SLC22A2, SLC22A1","Prostate cancer","prostate carcinoma",'-,GCST011048,6:160160512
rs10486567-<b>G</b>,"1 x 10-8",,0.76672338,1.1367551,'-,[1.09-1.19],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST011048,7:27936944
rs4727386-<b>A</b>,"7 x 10-11",,0.466851604,1.1179241,'-,[1.08-1.16],"RN7SL478P, LMTK2","Prostate cancer","prostate carcinoma",'-,GCST011048,7:98059128
rs1160267-<b>G</b>,"1 x 10-16",,0.419439506,1.1532314,'-,[1.11-1.19],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST011048,8:23672008
rs141811748-<b>C</b>,"7 x 10-6",,0.153699978,1.1080471,'-,[1.06-1.16],EBF2,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:26036686
rs6984837-<b>G</b>,"1 x 10-6",,0.33391118,1.0965812,'-,[1.06-1.14],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:126889404
rs7463326-<b>G</b>,"5 x 10-11",,0.754976862,1.1732173,'-,[1.12-1.23],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:127015709
rs77541621-<b>A</b>,"1 x 10-48",,0.02865675,1.8859878,'-,[1.73-2.05],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:127064901
rs72725879-<b>T</b>,"1 x 10-19",,0.183733525,1.2214127,'-,[1.17-1.28],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST011048,8:127091724
rs183373024-<b>G</b>,"2 x 10-29",,0.006111072,2.4604032,'-,[2.10-2.88],"PRNCR1, CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011048,8:127091872
rs17464492-<b>A</b>,"4 x 10-17",,0.713512738,1.1832399,'-,[1.14-1.23],"PCAT1, CASC8, POU5F1B","Prostate cancer","prostate carcinoma",'-,GCST011048,8:127330621
rs6983267-<b>G</b>,"5 x 10-28",,0.51929402,1.2091146,'-,[1.17-1.25],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011048,8:127401060
rs10090154-<b>T</b>,"5 x 10-23",,0.09964465,1.2957077,'-,[1.23-1.36],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:127519892
rs12549761-<b>C</b>,"2 x 10-8",,0.878451631,1.1715244,'-,[1.11-1.24],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011048,8:127528531
rs16902147-<b>C</b>,"1 x 10-11",,0.04,1.86,'-,[1.56-2.23],"CASC8, POU5F1B, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011829,8:127392827
rs79012498-<b>G</b>,"2 x 10-11",,0.044,1.81,'-,[1.53-2.15],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011829,8:127141075
rs11650494-<b>A</b>,"3 x 10-9",,0.04,1.96,'-,[1.46-2.12],FLJ40194,"Prostate cancer","prostate carcinoma",'-,GCST011829,17:49267824
rs58809953-<b>A</b>,"3 x 10-9",,0.04,1.71,'-,[1.43-2.04],"PCAT1, CASC8, POU5F1B","Prostate cancer","prostate carcinoma",'-,GCST011829,8:127395816
rs2074187-<b>A</b>,"4 x 10-8",,0.042,1.66,'-,[1.38-1.98],SP6,"Prostate cancer","prostate carcinoma",'-,GCST011829,17:47852993
rs9656816-<b>G</b>,"2 x 10-10",,0.12,1.43,'-,[1.28-1.60],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011829,8:127522409
rs12795301-<b>A</b>,"3 x 10-8",,0.098,1.42,'-,[1.25-1.61],"SMIM38, MYEOV","Prostate cancer","prostate carcinoma",'-,GCST011829,11:69224818
rs995432-<b>G</b>,"8 x 10-16",,0.45,1.38,'-,[1.28-1.50],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST011829,8:23665338
rs4871798-<b>A</b>,"3 x 10-10",,0.23,1.33,'-,[1.22-1.46],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011829,8:127467718
rs6985504-<b>A</b>,"1 x 10-8",,0.3,1.27,'-,[1.17-1.38],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011829,8:127484531
rs1447293-<b>G</b>,"6 x 10-9",,0.44,1.26,'-,[1.16-1.36],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011829,8:127460075
rs4793976-<b>G</b>,"1 x 10-8",,0.33,1.26,'-,[1.17-1.37],LINC02086,"Prostate cancer","prostate carcinoma",'-,GCST011829,17:48703135
rs3760511-<b>C</b>,"7 x 10-9",,0.43,1.26,'-,[1.16-1.36],"HNF1B, YWHAEP7","Prostate cancer","prostate carcinoma",'-,GCST011829,17:37746322
rs4793529-<b>G</b>,"2 x 10-8",,0.53,0.8,'-,[0.74-0.87],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST011829,17:71122495
rs4871790-<b>C</b>,"2 x 10-8",,0.5,0.8,'-,[0.74-0.87],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST011829,8:127429290
rs587948-<b>C</b>,"3 x 10-8",,0.39,0.8,'-,[0.74-0.87],"CASC8, POU5F1B, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011829,8:127329435
rs2739459-<b>G</b>,"2 x 10-8",,0.48,0.79,'-,[0.73-0.86],KLK2,"Prostate cancer","prostate carcinoma",'-,GCST011829,19:50865818
rs757138-<b>C</b>,"1 x 10-8",,0.31,0.78,'-,[0.72-0.85],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST011829,7:27949784
rs266876-<b>G</b>,"3 x 10-8",,0.23,0.76,'-,[0.69-0.84],KLK3,"Prostate cancer","prostate carcinoma",'-,GCST011829,19:50857562
rs10505477-<b>G</b>,"6 x 10-14",,0.53,0.74,'-,[0.69-0.80],"POU5F1B, PCAT1, CASC8","Prostate cancer","prostate carcinoma",'-,GCST011829,8:127395198
rs2659051-<b>G</b>,"6 x 10-9",,0.16,0.72,'-,[0.64-0.80],"KLK15, KLK3","Prostate cancer","prostate carcinoma",'-,GCST011829,19:50842312
rs188140481-<b>A</b>,"2 x 10-15",,0.005168,'-,"1.63 unit increase",[1.23-2.03],"PCAT1, CASC19","Cancer code, self-reported: prostate cancer (UKB data field 20001_1044)","prostate carcinoma",'-,GCST90041905,8:127179427
rs138213197-<b>T</b>,"6 x 10-23",,0.001661,'-,"4 unit increase",[3.21-4.79],HOXB13,"Cancer code, self-reported: prostate cancer (UKB data field 20001_1044)","prostate carcinoma",'-,GCST90041905,17:48728343
rs61365765-<b>A</b>,"4 x 10-10",,0.233624627,0.8545302,'-,[0.813427827-0.897709453],RPL19P16,"Prostate cancer","prostate carcinoma",'-,GCST90013706,10:121072802
rs10993994-<b>C</b>,"8 x 10-18",,0.551629754,0.8382297,'-,[0.805164818-0.8726525],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST90013706,10:46046326
rs11002805-<b>A</b>,"2 x 10-10",,0.367526915,1.1461935,'-,[1.099206692-1.195188918],ZMIZ1-AS1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,10:79066140
rs4620729-<b>A</b>,"5 x 10-9",,0.042733555,1.3472441,'-,[1.219369485-1.488529074],"SMIM38, MYEOV","Prostate cancer","prostate carcinoma",'-,GCST90013706,11:69212868
rs142025399-<b>T</b>,"2 x 10-10",,0.025720894,1.6036009,'-,[1.385713908-1.85574792],KRT8,"Prostate cancer","prostate carcinoma",'-,GCST90013706,12:52921881
rs397704695-<b>TAC</b>,"2 x 10-14",,0.36682217,1.1787953,'-,[1.129993313-1.229704938],"RNU6-66P, RNU4-10P","Prostate cancer","prostate carcinoma",'-,GCST90013706,13:73151214
rs8064454-<b>C</b>,"2 x 10-45",,0.670071446,1.3735855,'-,[1.314517211-1.435307952],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST90013706,17:37741595
rs1810020-<b>G</b>,"1 x 10-11",,0.605514571,1.1550198,'-,[1.108116703-1.203908007],KLK3,"Prostate cancer","prostate carcinoma",'-,GCST90013706,19:50858388
rs116532339-<b>G</b>,"5 x 10-12",,0.21558848,0.8392913,'-,[0.798567193-0.882092124],ITGA6,"Prostate cancer","prostate carcinoma",'-,GCST90013706,2:172457063
rs72725879-<b>?</b>,"4 x 10-12",,'-,'-,"0.297 unit increase",'-,"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST90002423,8:127091724
rs76595456-<b>T</b>,"1 x 10-15",,'-,'-,"0.55 unit increase",'-,"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST90002423,8:127075584
rs1456315-<b>?</b>,"1 x 10-13",,'-,'-,"0.5 unit decrease",'-,"PCAT1, CASC19, PRNCR1","Prostate cancer","prostate carcinoma",'-,GCST90002424,8:127091692
rs7837688-<b>?</b>,"3 x 10-9",,'-,'-,"0.48 unit increase",'-,CASC8,"Prostate cancer","prostate carcinoma",'-,GCST90002424,8:127527115
rs10503733-<b>?</b>,"3 x 10-6",,'-,1.3426423,'-,'-,"NKX3-1, SINHCAFP3","Prostate cancer","prostate carcinoma",'-,GCST90002424,8:23676505
rs4871009-<b>?</b>,"3 x 10-12",,'-,'-,"0.52 unit increase",'-,"PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST90002424,8:127096171
chr13:106685795-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,'-,"Prostate cancer","prostate carcinoma",'-,GCST90002425,"Mapping not available"
rs10193919-<b>T</b>,"2 x 10-8",,0.583386494,1.123898,'-,[1.078737127-1.170949565],"GDF7, LDAH","Prostate cancer","prostate carcinoma",'-,GCST90013706,2:20681073
rs11429002-<b>GT</b>,"3 x 10-12",,0.683621213,1.1690398,'-,[1.118744649-1.221596151],THADA,"Prostate cancer","prostate carcinoma",'-,GCST90013706,2:43439598
rs4672530-<b>C</b>,"1 x 10-14",,0.773396011,0.8271014,'-,[0.788231764-0.867887812],"TMEM17, RPL21P37","Prostate cancer","prostate carcinoma",'-,GCST90013706,2:62521184
rs1997577-<b>T</b>,"2 x 10-9",,0.373389614,0.87838453,'-,[0.842029107-0.916309679],NRIP1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,21:14998781
rs138426-<b>A</b>,"2 x 10-12",,0.708958158,1.1881915,'-,[1.132432352-1.246696258],KDELR3,"Prostate cancer","prostate carcinoma",'-,GCST90013706,22:38475886
rs149272765-<b>T</b>,"3 x 10-19",,0.00952273,2.8249998,'-,[2.251365976-3.544792055],EEFSEC,"Prostate cancer","prostate carcinoma",'-,GCST90013706,3:128385626
rs74651796-<b>GT</b>,"1 x 10-8",,0.202408716,0.84977394,'-,[0.803651951-0.89854287],"SKIL, CLDN11","Prostate cancer","prostate carcinoma",'-,GCST90013706,3:170411821
rs370595232-<b>C</b>,"2 x 10-15",,0.151328929,1.2559179,'-,[1.187165162-1.328652302],LINC00506,"Prostate cancer","prostate carcinoma",'-,GCST90013706,3:87094890
rs4975759-<b>G</b>,"5 x 10-27",,0.419366759,1.2593042,'-,[1.207573459-1.313250996],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST90013706,5:1892341
rs339331-<b>C</b>,"5 x 10-20",,0.367114986,0.82330304,'-,[0.789799298-0.858228063],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST90013706,6:116888889
rs1983891-<b>T</b>,"8 x 10-11",,0.415811418,1.1443394,'-,[1.09870727-1.191866879],FOXP4,"Prostate cancer","prostate carcinoma",'-,GCST90013706,6:41568689
rs7808935-<b>C</b>,"5 x 10-8",,0.900107071,0.8309912,'-,[0.777539828-0.888117121],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,7:27937744
rs72725879-<b>T</b>,"3 x 10-107",,0.610643411,1.6093928,'-,[1.542595407-1.67908265],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127091724
rs4872174-<b>T</b>,"2 x 10-35",,0.634036147,0.7677914,'-,[0.736451169-0.800465272],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST90013706,8:23667698
rs13255059-<b>G</b>,"3 x 10-86",,NR,0.5574063,'-,[0.525898333919347-0.590802019525736],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127518371
rs4871009-<b>T</b>,"1 x 10-49",,NR,1.4672259,'-,[1.39464026419012-1.54358934452373],"PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127096171
rs9969411-<b>A</b>,"4 x 10-23",,NR,0.7784415,'-,[0.740819369792749-0.817974231333113],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127034284
rs6998254-<b>A</b>,"6 x 10-14",,NR,0.8507393,'-,[0.815561086356734-0.887434902845924],"CASC8, POU5F1B, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127416550
rs56879585-<b>T</b>,"7 x 10-9",,NR,0.8665455,'-,[0.82557205912336-0.909552476001195],LINC00856,"Prostate cancer","prostate carcinoma",'-,GCST90013706,10:78501182
rs11649743-<b>A</b>,"2 x 10-7",,NR,0.88905525,'-,[0.850550035305689-0.929303586776981],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST90013706,17:37714971
rs75618320-<b>A</b>,"2 x 10-7",,NR,0.89518213,'-,[0.858409614419123-0.933529851918226],GATA2-AS1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,3:128494501
rs13249021-<b>G</b>,"8 x 10-6",,NR,0.89678687,'-,[0.854812814115793-0.940822030368113],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST90013706,8:126912167
rs28489376-<b>T</b>,"7 x 10-11",(conditional),NR,1.1941068,'-,[1.13214150898292-1.25946353702893],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST90013706,8:127530199
rs75823044-<b>T</b>,"6 x 10-12",,0.02,1.55,'-,[1.37-1.76],LINC00676,"Prostate cancer","prostate carcinoma",'-,GCST004982,13:109708437
rs78554043-<b>C</b>,"8 x 10-10",,0.013,1.62,'-,[1.39-1.89],"TTC28-AS1, TTC28","Prostate cancer","prostate carcinoma",'-,GCST004982,22:27978955
rs7130881-<b>G</b>,"9 x 10-9",,NR,1.31,'-,[1.20-1.44],"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST001147,11:69228491
rs7501939-<b>C</b>,"2 x 10-6",,NR,1.19,'-,[1.11-1.28],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST001147,17:37741165
rs1859962-<b>G</b>,"3 x 10-11",,NR,1.27,'-,[1.18-1.37],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST001147,17:71112612
rs1016343-<b>T</b>,"4 x 10-10",,NR,1.31,'-,[1.20-1.42],"PRNCR1, PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST001147,8:127081052
rs2292884-<b>G</b>,"4 x 10-8",,0.25,1.14,'-,[1.09-1.19],MLPH,"Prostate cancer","prostate carcinoma",'-,GCST001147,2:237534583
rs7629490-<b>T</b>,"1 x 10-7","(conditioned on rs2660753)",NR,1.06,'-,[1.04-1.09],"MIR4795, LINC00506","Prostate cancer","prostate carcinoma",'-,GCST001147,3:87192347
rs651164-<b>G</b>,"2 x 10-10","(conditioned on rs9364554)",NR,1.15,'-,[1.10-1.20],"SLC22A2, SLC22A1","Prostate cancer","prostate carcinoma",'-,GCST001147,6:160160342
rs13252298-<b>A</b>,"4 x 10-6","(conditioned on 5 SNPs)",NR,1.12,'-,[1.05-1.18],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST001147,8:127082911
rs742134-<b>G</b>,"6 x 10-6","(conditioned on rs5759167)",NR,1.16,'-,[1.01-1.23],BIK,"Prostate cancer","prostate carcinoma",'-,GCST001147,22:43122269
rs445114-<b>T</b>,"5 x 10-7",,NR,1.22,'-,[1.12-1.32],"CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST001147,8:127310936
rs6983267-<b>G</b>,"9 x 10-6",,NR,1.2,'-,[1.11-1.32],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST001147,8:127401060
rs4242384-<b>C</b>,"3 x 10-16",,NR,1.56,'-,[1.40-1.73],"CASC8, CASC11","Prostate cancer","prostate carcinoma",'-,GCST001147,8:127506309
rs10993994-<b>T</b>,"5 x 10-6",,NR,1.18,'-,[1.10-1.27],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST001147,10:46046326
rs902774-<b>A</b>,"5 x 10-9",,0.17,1.17,'-,[1.11-1.24],"RPL7P41, KRT78","Prostate cancer","prostate carcinoma",'-,GCST001147,12:52880120
rs1456315-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,"PCAT1, CASC19, PRNCR1","Prostate cancer","prostate carcinoma",'-,GCST001702,8:127091692
rs817826-<b>C</b>,"5 x 10-14",,0.084,1.41,'-,[1.29-1.54],"RAD23B, LINC01509","Prostate cancer","prostate carcinoma",'-,GCST001702,9:107394019
rs103294-<b>C</b>,"5 x 10-16",,0.238,1.28,'-,[1.21-1.36],"MIR4752, LILRA5","Prostate cancer","prostate carcinoma",'-,GCST001702,19:54293995
rs188140481-<b>A</b>,"5 x 10-27",,0.005057,'-,"1.66 unit increase",[1.36-1.96],"PCAT1, CASC19","Cancer of prostate (PheCode 185)","prostate carcinoma",'-,GCST90041853,8:127179427
rs138213197-<b>T</b>,"3 x 10-19",,0.001648,'-,"2.5 unit increase",[1.95-3.05],HOXB13,"Cancer of prostate (PheCode 185)","prostate carcinoma",'-,GCST90041853,17:48728343
rs116532339-<b>G</b>,"2 x 10-10",,0.214479533,'-,"0.16433817 unit decrease",[0.11-0.21],ITGA6,"Prostate cancer","prostate carcinoma",'-,GCST90018685,2:172457063
rs4952990-<b>T</b>,"7 x 10-13",,0.68173066,'-,"0.1614379 unit increase",[0.12-0.21],THADA,"Prostate cancer","prostate carcinoma",'-,GCST90018685,2:43443310
rs4672531-<b>T</b>,"3 x 10-15",,0.706172556,'-,"0.17974885 unit decrease",[0.14-0.22],"RPL21P37, TMEM17","Prostate cancer","prostate carcinoma",'-,GCST90018685,2:62521234
rs149272765-<b>T</b>,"1 x 10-27",,0.01697167,'-,"0.92212635 unit increase",[0.76-1.09],EEFSEC,"Prostate cancer","prostate carcinoma",'-,GCST90018685,3:128385626
rs74651796-<b>GT</b>,"1 x 10-9",,0.20108091,'-,"0.16636555 unit decrease",[0.11-0.22],"SKIL, CLDN11","Prostate cancer","prostate carcinoma",'-,GCST90018685,3:170411821
rs9310048-<b>C</b>,"2 x 10-15",,0.221135453,'-,"0.19815528 unit increase",[0.15-0.25],LINC00506,"Prostate cancer","prostate carcinoma",'-,GCST90018685,3:87103531
rs13177600-<b>A</b>,"3 x 10-28",,0.417216918,'-,"0.23239844 unit increase",[0.19-0.27],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST90018685,5:1897065
rs12202378-<b>C</b>,"3 x 10-19",,0.409557839,'-,"0.19103399 unit decrease",[0.15-0.23],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST90018685,6:116920858
rs1983891-<b>T</b>,"4 x 10-11",,0.414210961,'-,"0.1388509 unit increase",[0.098-0.18],FOXP4,"Prostate cancer","prostate carcinoma",'-,GCST90018685,6:41568689
rs62451152-<b>C</b>,"1 x 10-8",,0.04164962,'-,"0.29718286 unit increase",[0.19-0.4],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST90018685,7:27953538
rs72725879-<b>T</b>,"1 x 10-115",,0.614258974,'-,"0.49992305 unit increase",[0.46-0.54],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST90018685,8:127091724
rs4872174-<b>T</b>,"4 x 10-36",,0.634921601,'-,"0.26981884 unit decrease",[0.23-0.31],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST90018685,8:23667698
rs77612511-<b>T</b>,"2 x 10-9",,0.141750277,'-,"0.1807642 unit decrease",[0.12-0.24],"WDR11, RPL19P16","Prostate cancer","prostate carcinoma",'-,GCST90018685,10:121076917
rs10993994-<b>C</b>,"6 x 10-18",,0.553087598,'-,"0.17997552 unit decrease",[0.14-0.22],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST90018685,10:46046326
